projectName,creationDate,creationCommitHash,type,squid,component,severity,startLine,endLine,resolution,status,message,effort,debt,author
testi,2017-06-14T08:25:32+0000,7b6fd6ecf1c4a91d0a8a2b9c093b2e68,CODE_SMELL,squid:S00100,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MINOR,63,63,,OPEN,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,5min,5min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,64,64,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,b99f51ba1341a4eb2bed7dc19481349b,CODE_SMELL,squid:S00100,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MINOR,70,70,,OPEN,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,5min,5min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,71,71,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,6989776009f8642c1b3b580afb863fb1,CODE_SMELL,squid:S00100,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MINOR,77,77,,OPEN,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,5min,5min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,78,78,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,85,85,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,95d710043ba9c641426ee8d8c3deec5e,CODE_SMELL,squid:S00100,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MINOR,91,91,,OPEN,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,5min,5min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,92,92,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
testi,2017-06-14T08:25:32+0000,7da489fc20b099b781938b8f34e2c627,CODE_SMELL,squid:S00112,testi:src/test/java/org/apache/commons/cli/TypeHandlerTest.java,MAJOR,99,99,,OPEN,Define and throw a dedicated exception instead of using a generic one.,20min,20min,
